import time: self [us] | cumulative | imported package
import time:      1148 |       3747 |                               httpx._urls
import time:      1535 |      13017 |                             httpx._models
import time:      1161 |      15329 |                           httpx._auth
import time:      1512 |       1512 |                           httpx._config
import time:       757 |        757 |                                 httpx._transports.base
import time:      1024 |       1780 |                               httpx._transports.asgi
import time:      1311 |       1311 |                               httpx._transports.default
import time:       932 |        932 |                               httpx._transports.mock
import time:       814 |        814 |                               httpx._transports.wsgi
import time:       928 |       5762 |                             httpx._transports
import time:        47 |       5809 |                           httpx._transports.base
import time:      1949 |      24597 |                         httpx._client
import time:       937 |      25534 |                       httpx._api
import time:      2065 |       2065 |                                     _ctypes
import time:      1136 |       1136 |                                     ctypes._endian
import time:      1737 |       4937 |                                   ctypes
import time:       806 |        806 |                                     ctypes._layout
import time:      1248 |       2054 |                                   ctypes.wintypes
import time:      2814 |       9804 |                                 click._winconsole
import time:      1684 |      11487 |                               click._compat
import time:       674 |        674 |                                 click.globals
import time:      1175 |       1175 |                                 click.utils
import time:      1082 |       2930 |                               click.exceptions
import time:      1616 |      16033 |                             click.types
import time:      1007 |       1007 |                             click._utils
import time:      1121 |       1121 |                               click.parser
import time:       922 |       2043 |                             click.formatting
import time:      1083 |       1083 |                             click.termui
import time:      2151 |      22315 |                           click.core
import time:      1259 |       1259 |                           click.decorators
import time:       883 |      24457 |                         click
import time:       919 |        919 |                           pygments
import time:      2270 |       2270 |                           pygments.lexers._mapping
import time:       968 |        968 |                           pygments.modeline
import time:       611 |        611 |                           pygments.plugin
import time:      1376 |       1376 |                           pygments.util
import time:      1008 |       7150 |                         pygments.lexers
import time:       900 |        900 |                             rich._extension
import time:       958 |       1858 |                           rich
import time:       326 |        326 |                             termios
import time:       753 |       1079 |                           getpass
import time:      2041 |       2041 |                             html.entities
import time:      1398 |       3439 |                           html
import time:      1097 |       1097 |                           rich._null_file
import time:       799 |        799 |                           rich.errors
import time:      1175 |       1175 |                                   _compat_pickle
import time:       197 |        197 |                                   _pickle
import time:      1749 |       3119 |                                 pickle
import time:       639 |        639 |                                   colorsys
import time:      1190 |       1190 |                                       rich.color_triplet
import time:       943 |       2132 |                                     rich.palette
import time:       792 |       2924 |                                   rich._palettes
import time:      1362 |       1362 |                                   rich.repr
import time:      1160 |       1160 |                                   rich.terminal_theme
import time:      2737 |       8819 |                                 rich.color
import time:      1479 |      13416 |                               rich.style
import time:      1259 |      14675 |                             rich.default_styles
import time:      3431 |       3431 |                               configparser
import time:      1329 |       4760 |                             rich.theme
import time:       706 |      20141 |                           rich.themes
import time:      2616 |       2616 |                             rich._emoji_codes
import time:      1284 |       3900 |                           rich._emoji_replace
import time:       653 |        653 |                           rich._export_format
import time:       609 |        609 |                           rich._fileno
import time:       723 |        723 |                               rich._loop
import time:       703 |        703 |                               rich._pick
import time:       769 |        769 |                                     rich._unicode_data._versions
import time:       765 |       1533 |                                   rich._unicode_data
import time:      1907 |       3440 |                                 rich.cells
import time:      1140 |       4580 |                               rich._wrap
import time:      1516 |       1516 |                                     rich.segment
import time:       666 |       2181 |                                   rich.jupyter
import time:       734 |        734 |                                     rich.protocol
import time:      1046 |       1780 |                                   rich.measure
import time:       775 |       4735 |                                 rich.constrain
import time:      1350 |       6084 |                               rich.align
import time:      1248 |       1248 |                               rich.containers
import time:       847 |        847 |                               rich.control
import time:       974 |        974 |                               rich.emoji
import time:      1603 |      16760 |                             rich.text
import time:       839 |      17599 |                           rich._log_render
import time:       786 |        786 |                           rich.highlighter
import time:      1599 |       1599 |                           rich.markup
import time:       588 |        588 |                           rich.pager
import time:       111 |        111 |                             array
import time:      1165 |       1165 |                                     _wmi
import time:      1354 |       2519 |                                   platform
import time:      1182 |       3701 |                                 attr._compat
import time:       620 |        620 |                                   attr._config
import time:       549 |        549 |                                     attr.exceptions
import time:       544 |       1093 |                                   attr.setters
import time:      5140 |       6851 |                                 attr._make
import time:       983 |      11534 |                               attr.converters
import time:       876 |        876 |                               attr.filters
import time:      5491 |       5491 |                               attr.validators
import time:      1050 |       1050 |                               attr._cmp
import time:       833 |        833 |                               attr._funcs
import time:       742 |        742 |                               attr._next_gen
import time:      1481 |       1481 |                               attr._version_info
import time:      1039 |      23042 |                             attr
import time:       825 |        825 |                             rich.abc
import time:      2596 |      26573 |                           rich.pretty
import time:       866 |        866 |                           rich.region
import time:       685 |        685 |                               rich.box
import time:       693 |        693 |                               rich.padding
import time:       678 |       2054 |                             rich.panel
import time:       648 |        648 |                               rich._ratio
import time:      3197 |       3845 |                             rich.table
import time:       673 |       6571 |                           rich.scope
import time:       874 |        874 |                           rich.screen
import time:       857 |        857 |                           rich.styled
import time:      3861 |      93742 |                         rich.console
import time:       100 |        100 |                           mmap
import time:       690 |        690 |                           rich.filesize
import time:      1044 |       1044 |                               rich.ansi
import time:       615 |       1659 |                             rich.file_proxy
import time:       644 |        644 |                             rich.live_render
import time:       758 |       3061 |                           rich.live
import time:      1122 |       1122 |                           rich.progress_bar
import time:       941 |        941 |                             rich._spinners
import time:      1126 |       2067 |                           rich.spinner
import time:      2820 |       9857 |                         rich.progress
import time:       596 |        596 |                             pygments.filter
import time:      1062 |       1062 |                               pygments.token
import time:      1481 |       2542 |                             pygments.filters
import time:       689 |        689 |                             pygments.regexopt
import time:      1135 |       4961 |                           pygments.lexer
import time:       789 |        789 |                           pygments.style
import time:       761 |        761 |                             pygments.styles._mapping
import time:       641 |       1401 |                           pygments.styles
import time:      1736 |       8886 |                         rich.syntax
import time:      1428 |     145518 |                       httpx._main
import time:       996 |     173036 |                     httpx
import time:       733 |        733 |                     mcp.shared.response_router
import time:      1181 |     174950 |                   mcp.shared.session
import time:      1619 |     178609 |                 mcp.shared.context
import time:      1518 |     180127 |               mcp.client.experimental.task_handlers
import time:       707 |        707 |               mcp.shared.version
import time:      4296 |     417990 |             mcp.client.session
import time:       580 |        580 |                       httpx_sse._models
import time:       499 |       1078 |                     httpx_sse._decoders
import time:       953 |        953 |                     httpx_sse._exceptions
import time:       702 |       2733 |                   httpx_sse._api
import time:       615 |       3347 |                 httpx_sse
import time:       553 |        553 |                 mcp.shared._httpx_utils
import time:       576 |       4475 |               mcp.client.sse
import time:      1928 |       1928 |                 anyio.streams.text
import time:       731 |        731 |                     mcp.os
import time:       752 |       1482 |                   mcp.os.posix
import time:       605 |       2087 |                 mcp.os.posix.utilities
import time:       511 |        511 |                   mcp.os.win32
import time:       659 |        659 |                   anyio.streams.file
import time:       442 |        442 |                     _win32sysloader
import time:      1888 |       2329 |                   pywintypes
import time:      1192 |       1192 |                   win32api
import time:      2368 |       2368 |                   win32con
import time:       569 |        569 |                   win32job
import time:       986 |       8612 |                 mcp.os.win32.utilities
import time:      2415 |      15040 |               mcp.client.stdio
import time:      1754 |       1754 |               mcp.client.streamable_http
import time:      3803 |      25071 |             mcp.client.session_group
import time:       601 |        601 |                       pydantic_settings.exceptions
import time:       647 |        647 |                             asyncio.constants
